URL,User-agent,Directive,Path,Sitemap
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/*.css*,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/jingjiren,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/*.css*,
"https://liuzhou.lianjia.com/robots.txt
",360Spider,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/*.css*,
"https://liuzhou.lianjia.com/robots.txt
",haosouspider,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/jingjiren,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/*.css*,
"https://liuzhou.lianjia.com/robots.txt
",bingbot,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/jingjiren,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/*.css*,
"https://liuzhou.lianjia.com/robots.txt
",msnbot,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/jingjiren,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/*.css*,
"https://liuzhou.lianjia.com/robots.txt
",msnbot-media,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/jingjiren,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/*.css*,
"https://liuzhou.lianjia.com/robots.txt
",Sosospider,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/jingjiren,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/*.css*,
"https://liuzhou.lianjia.com/robots.txt
",Sogou News Spider,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",Yahoo! Slurp China,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",Yahoo! Slurp China,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",Yahoo! Slurp China,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",Yahoo! Slurp China,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",Yahoo! Slurp China,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",Yahoo! Slurp China,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",Yahoo! Slurp China,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",Yahoo! Slurp China,Disallow,/cmsmanage,
